,sample_number,site,sample_design,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Nb,Ni,P,Pb,Rb,S,Sb,Sc,Se,Sn,Sr,Te,Th,Tl,U,V,Y,Zn,Zr
41,127,Forest,Grid,0.08,0.78,4,20,150,0.51,0.21,0.91,0.37,30.7,6.7,14,0.56,13.7,1.2,2.39,0.12,0.06,0.02,0.23,14.4,7.4,0.31,748,0.59,0.37,15,670,12,14.8,0.04,0.24,1.7,0.8,0.4,26.3,0.03,1.7,0.15,0.74,41,8.28,84,4.1
42,128,Forest,Grid,0.08,0.83,3.4,20,200,0.48,0.19,0.89,0.56,27.2,6.8,15,0.4,14,1.29,2.49,0.09,0.06,0.02,0.21,12.4,5.7,0.29,1510,1.05,0.37,14.1,850,12,14.5,0.05,0.18,1.7,0.9,0.4,20.7,0.03,1.5,0.11,0.75,38,5.75,203,3
43,129,Forest,Grid,0.08,0.68,5.7,10,140,0.43,0.19,0.87,0.54,35.1,8,14,0.51,12.3,1.37,2.27,0.08,0.06,0.016,0.19,17.5,6.5,0.33,961,0.82,0.44,19,810,11.5,13.6,0.04,0.31,1.8,0.9,0.4,21.9,0.04,2.1,0.2,1.08,36,9.8,89,3.3
44,130,Forest,Grid,0.07,0.63,5.5,10,140,0.51,0.18,0.66,0.71,37.4,8,14,0.58,11.8,1.33,2.24,0.12,0.04,0.019,0.17,17.7,6.9,0.25,1020,0.77,0.4,21.8,710,10.5,16.3,0.04,0.25,1.7,0.7,0.4,19,0.03,2.3,0.18,1,33,10.25,90,3.5
45,131,Forest,Grid,0.09,0.64,5,20,150,0.52,0.21,0.96,1.76,35,7.3,13,0.48,16.2,1.24,2.2,0.16,0.07,0.023,0.18,16.8,6.9,0.26,1080,0.67,0.38,21.5,900,11.3,16.5,0.06,0.27,1.5,1.1,0.4,24.8,0.03,1.6,0.15,1.11,30,10.7,211,4.7
46,132,Forest,Grid,0.08,0.59,3.9,20,180,0.49,0.22,1.87,0.78,31.6,6.4,11,0.36,19.9,1.04,1.94,0.13,0.08,0.02,0.18,14.6,5.6,0.39,1220,0.71,0.34,19.9,990,13.1,12.1,0.09,0.25,1.1,1.3,0.4,35.2,0.02,1.2,0.11,0.91,26,9.61,179,3.9
47,133,Forest,Grid,0.04,0.44,8.1,10,390,0.39,0.11,5.46,0.32,46.8,9.3,15,0.68,10.1,1.46,1.86,0.14,0.03,0.014,0.1,21.8,6.4,1.77,1390,1.12,0.17,23.7,740,8.3,9.9,0.09,0.28,1.9,0.5,0.3,64.2,0.03,7.3,0.15,1.46,30,11.4,42,7.2
48,134,Forest,Grid,0.06,0.69,3.4,20,160,0.47,0.23,0.98,0.4,23.6,4.5,12,0.54,10.6,1.02,2.15,0.15,0.08,0.023,0.22,10.9,6.8,0.26,574,0.42,0.35,11,690,12.4,16,0.06,0.21,1.5,0.9,0.4,31.4,0.03,1.6,0.12,0.64,35,4.98,148,4.6
49,135,Forest,Grid,0.06,0.52,6.4,10,170,0.38,0.14,4.07,0.34,34.6,6.6,11,0.69,12.2,1.12,1.91,0.09,0.04,0.016,0.15,15.7,7,1.64,896,0.9,0.36,19.1,700,8.4,11.5,0.08,0.29,1.7,0.6,0.3,40.8,0.03,2.9,0.18,1.16,27,9.45,60,3.5
50,136,Forest,Grid,0.06,0.69,3.1,20,170,0.42,0.16,1.23,0.49,21.4,4.3,17,0.43,21.2,0.96,2.13,0.16,0.05,0.015,0.23,10.3,5.2,0.29,956,0.59,0.36,14.2,930,68,13.6,0.07,0.65,1.3,0.6,0.9,26.3,0.03,1.3,0.11,0.66,32,4.71,158,4.6
51,137,Forest,Grid,0.05,0.65,4.5,10,140,0.46,0.19,0.84,0.5,31.7,6.6,13,0.42,12.3,1.28,2.31,0.13,0.05,0.021,0.16,15.2,6.4,0.26,771,0.65,0.44,15.7,880,12.1,12.4,0.05,0.23,1.6,0.6,0.4,21.3,0.02,1.5,0.16,0.88,31,8.79,100,3.9
52,138,Forest,Grid,0.09,0.69,4.6,10,140,0.52,0.18,0.77,0.59,29.9,6,14,0.46,13.7,1.24,2.36,0.13,0.06,0.019,0.18,15.6,6.4,0.25,747,0.65,0.41,20.8,790,9.8,13.3,0.05,0.22,1.5,0.6,0.4,20.4,0.03,1.5,0.13,0.91,34,9.01,136,4
53,139,Forest,Grid,0.09,0.59,4.6,20,170,0.45,0.18,1.08,0.74,32.7,7.1,12,0.43,13.5,1.18,2.1,0.15,0.07,0.02,0.18,14.9,6.1,0.27,1150,0.62,0.37,18.4,940,10.6,12.2,0.06,0.23,1.3,0.9,0.4,22.9,0.03,1.3,0.13,0.95,29,8.95,144,4.2
54,140,Forest,Grid,0.07,0.59,7,10,160,0.43,0.16,4.04,0.45,33.1,8.1,12,0.73,13,1.24,2.09,0.09,0.05,0.019,0.17,15.5,7.7,1.43,1030,1.01,0.33,21.3,550,9.3,13.2,0.09,0.31,1.8,0.9,0.4,48.1,0.03,3,0.2,1.22,30,9.7,67,4
55,141,Forest,Grid,0.06,0.54,6.4,10,150,0.42,0.13,3.97,0.39,33.9,8.3,11,0.67,10.7,1.12,1.91,0.09,0.03,0.015,0.17,15.4,7,1.45,1090,0.82,0.31,22.5,520,8.3,12.2,0.07,0.29,1.7,0.8,0.3,43.8,0.04,2.9,0.18,1.12,29,9.48,52,3.8
56,142,Forest,Grid,0.07,0.6,6.8,10,140,0.48,0.18,2.65,0.45,44.6,8.4,14,0.74,12.2,1.31,2.33,0.09,0.04,0.019,0.16,20.8,7.6,1.25,1150,0.85,0.37,28,750,9.6,13.3,0.06,0.32,1.9,0.8,0.4,33.6,0.04,3.5,0.23,1.43,33,11.45,53,3.5
57,143,Forest,Grid,0.06,0.83,2.8,20,170,0.54,0.17,0.86,0.24,25.2,5.1,13,0.49,12.3,0.98,2.58,0.17,0.06,0.019,0.24,11.5,5.4,0.25,1260,0.6,0.37,15.3,680,10.2,15.6,0.06,0.12,1.5,0.8,0.4,33,0.02,1.4,0.09,1.38,39,4.92,80,5.1
58,144,Forest,Grid,0.09,0.87,3,10,240,0.55,0.18,0.82,0.32,22.9,4.7,15,0.55,13.8,1.06,2.77,0.15,0.06,0.022,0.24,11.5,5.6,0.24,1390,0.6,0.36,16.9,790,10,15.9,0.05,0.13,1.5,0.8,0.4,29.2,0.03,1.2,0.1,0.63,38,4.7,111,4.2
59,145,Forest,Grid,0.08,0.89,3.1,20,300,0.67,0.17,0.74,0.54,25.4,5.5,14,0.54,14.4,1.08,2.66,0.16,0.05,0.018,0.23,13,5.5,0.24,2050,0.58,0.33,23.3,670,8.7,16.1,0.05,0.12,1.6,0.9,0.4,26,0.02,1.4,0.1,0.63,41,6.84,172,4.3
60,146,Forest,Grid,0.07,0.68,3.8,10,160,0.46,0.17,0.63,0.5,30.2,5.5,13,0.52,12.3,1.17,2.26,0.12,0.04,0.018,0.17,14,5.5,0.22,771,0.64,0.42,15.4,650,9.4,14.1,0.04,0.15,1.6,0.4,0.4,16.8,0.03,1.9,0.13,0.76,31,7.02,126,3.6
61,147,Forest,Grid,0.07,0.77,3.4,10,130,0.46,0.19,0.47,0.31,29.2,5.1,16,0.68,11.8,1.25,2.62,0.07,0.04,0.017,0.2,13.7,6.4,0.24,572,0.6,0.45,12.5,600,8.5,18.1,0.03,0.14,1.8,0.6,0.4,15.3,0.03,2,0.17,0.75,36,4.37,107,2.3
62,148,Forest,Grid,0.07,0.64,5.7,10,140,0.49,0.2,0.85,0.58,36.5,8.1,14,0.55,13.2,1.3,2.31,0.14,0.06,0.022,0.19,17.2,7,0.28,947,0.74,0.42,21.8,820,11.7,15.4,0.05,0.28,1.7,0.8,0.4,22,0.04,1.8,0.18,1.06,34,10.75,96,4.3
63,149,Forest,Grid,0.08,0.62,6.5,20,130,0.49,0.18,2.86,0.44,32.7,7.4,13,0.71,16.6,1.21,2.25,0.08,0.05,0.02,0.17,15.6,8.2,1.06,1060,0.93,0.37,22.5,710,9.4,14.6,0.11,0.35,1.8,0.9,0.4,39.4,0.03,2.1,0.23,1.24,31,10.1,73,3.3
64,150,Forest,Fine scale,0.06,0.47,5.7,20,140,0.38,0.13,3.35,0.62,30.7,7.2,10,0.53,13.4,1.03,1.77,0.11,0.05,0.016,0.18,14.4,6.2,1.13,852,0.88,0.38,20.4,770,9,14.4,0.09,0.34,1.4,0.8,0.3,38.4,0.03,1.7,0.17,1.01,28,9.33,86,3.8
65,151,Forest,Fine scale,0.05,0.47,4.6,30,120,0.36,0.13,3.25,0.65,26.7,6.1,10,0.43,13.9,0.94,1.65,0.11,0.05,0.015,0.2,12.5,5.7,1,759,0.96,0.36,18,920,9.2,13.5,0.12,0.3,1.1,0.9,0.3,37,0.02,1.3,0.16,0.9,27,8.11,111,4.6
66,152,Forest,Fine scale,0.05,0.45,4.4,20,110,0.34,0.13,3.28,0.54,26.2,5.7,10,0.44,13.7,0.93,1.6,0.1,0.05,0.015,0.21,12.7,5.6,1.04,670,0.97,0.35,17.2,960,8.6,12.6,0.11,0.29,1.1,0.9,0.3,36.4,0.03,1.2,0.16,0.92,26,8.02,90,3.3
67,153,Forest,Fine scale,0.05,0.49,5.1,20,130,0.38,0.13,3.33,0.45,29.4,6.6,11,0.53,13.4,1.01,1.74,0.11,0.05,0.014,0.16,14.3,6,1.19,768,0.78,0.35,19.6,790,9.2,12,0.09,0.32,1.3,0.8,0.3,34.6,0.02,1.5,0.17,0.98,28,9.01,80,3.7
68,154,Forest,Fine scale,0.06,0.49,5.5,20,130,0.37,0.13,3.71,0.45,32.9,7,11,0.51,11.7,1.08,1.82,0.09,0.04,0.014,0.15,15.2,5.9,1.39,855,0.85,0.39,20,780,9.6,11.4,0.08,0.32,1.5,0.7,0.3,38,0.03,2,0.18,1.23,27,9.55,77,3.4
